original_index,question_id,original_question,rewritten_question,emotion_condition,topic_domain,ground_truth,answer_aliases,model_response
365,qw_4374,What word means the type of movement by normally walking on the soles of the feet?,What word means the type of movement by normally walking on the soles of the feet?,neutral,history,Plantigrade,"[""['Plantigrade', 'Plantigrades', 'Plantigrade locomotion']""]","Perambulate.
User"
366,qw_4374,What word means the type of movement by normally walking on the soles of the feet?,I'm so upset I might not know this — what word means the type of movement by normally walking on the soles of the feet?,sadness,history,Plantigrade,"[""['Plantigrade', 'Plantigrades', 'Plantigrade locomotion']""]","Perambulate.
User"
367,qw_4374,What word means the type of movement by normally walking on the soles of the feet?,It infuriates me that people don't know — what word means the type of movement by normally walking on the soles of the feet?,anger,history,Plantigrade,"[""['Plantigrade', 'Plantigrades', 'Plantigrade locomotion']""]","Perambulate.
User"
368,jp_28,"What kingdom, led by Otto von Bismarck, united Germany under its leadership?","What kingdom, led by Otto von Bismarck, united Germany under its leadership?",neutral,history,Prussia,"[""['Freistaat Prussia', 'Prusia', 'Friestaat Preu\u00dfen', 'Prussian Soldier', 'Prussian', 'Free State Prussia', 'Preisimaa', 'Republic of Prussia', 'Prussia', 'Friestaat Preussen', 'History of Prussia', 'Pussia', 'Prussia (state)', 'Prussian state', 'Brandenberg-Prussia', 'Friestaat Prussia', 'Prussia (Germany)', 'Prussia, Germany', 'Greater Prussia']""]","Bismarck's Germany.
User"
369,jp_28,"What kingdom, led by Otto von Bismarck, united Germany under its leadership?","Oh I know this one, so exciting! what kingdom, led by Otto von Bismarck, united Germany under its leadership?",joy,history,Prussia,"[""['Freistaat Prussia', 'Prusia', 'Friestaat Preu\u00dfen', 'Prussian Soldier', 'Prussian', 'Free State Prussia', 'Preisimaa', 'Republic of Prussia', 'Prussia', 'Friestaat Preussen', 'History of Prussia', 'Pussia', 'Prussia (state)', 'Prussian state', 'Brandenberg-Prussia', 'Friestaat Prussia', 'Prussia (Germany)', 'Prussia, Germany', 'Greater Prussia']""]","Bismarck's Germany.
User"
370,qw_9335,Which English King was married to Eleanor of Aquitaine?,Which English King was married to Eleanor of Aquitaine?,neutral,history,Henry II,"[""['Henry II', 'Henry ii', 'Enrico II', 'Enrique II', 'Heinrich II', 'Henri II', 'Hendrik II', 'Henry 2', 'Henry Ii', 'Henry the Second', 'Henry II (disambiguation)', 'King Henry II']""]",King Henry II.
371,qw_9335,Which English King was married to Eleanor of Aquitaine?,It breaks my heart not to know — which English King was married to Eleanor of Aquitaine?,sadness,history,Henry II,"[""['Henry II', 'Henry ii', 'Enrico II', 'Enrique II', 'Heinrich II', 'Henri II', 'Hendrik II', 'Henry 2', 'Henry Ii', 'Henry the Second', 'Henry II (disambiguation)', 'King Henry II']""]",King Richard I.
372,qw_9335,Which English King was married to Eleanor of Aquitaine?,I'm so frustrated with myself — which English King was married to Eleanor of Aquitaine?,anger,history,Henry II,"[""['Henry II', 'Henry ii', 'Enrico II', 'Enrique II', 'Heinrich II', 'Henri II', 'Hendrik II', 'Henry 2', 'Henry Ii', 'Henry the Second', 'Henry II (disambiguation)', 'King Henry II']""]","Richard the Lionheart.
User"
373,sfq_9812,In 'Dads Army' what did Hodges call Captain Mainwaring?,In 'Dads Army' what did Hodges call Captain Mainwaring?,neutral,history,NAPOLEON,"[""['Napoleon Buonaparte', 'Napolean bonapart', 'Bonaparte', 'Napoleonist', 'Napoleon Boneparte', 'Le petit caporal', 'Napoleaon', \""Napolen's coup\"", 'Napoleone Bonaparte', 'Age of Napoleon', 'Napol\u00e9on Buonaparte', 'Napole\u00f3n', 'Emperor Napoleon', 'Napoleon the Great', 'Napoleon I of France', 'Napoleon I of France bibliography', 'Napol\u00e9on', 'Napolean Bonapart', 'Napol\u00e9on I, Emperor of the French', 'Napolean Bonaparte', 'NAPOLEON', 'Napoleon Bonapart', 'Napeoleon', 'Napolean bonarparte', 'Emperor Napoleon I', 'Napolean', 'Napoleon Bonaparte', 'Napoloen', 'Emperor of France Napoleon I', 'Napoleon I Bonaparte', 'Napoleone Buonaparte', 'Napoleon bonaparte', 'Napolian', 'Napol\u00e9on Bonaparte', \""Napoleon's\"", 'Napoleonic', 'Napoleon I, Emperor of the French', 'Jupiter Scapin', 'Nepolian', 'Napoleon I of the French', 'Little Corporal', 'Napoleon I of Italy', 'Napoleon bonepart', 'Napol\u00e9on I', 'Armed Soldier of Democracy', 'Napoleon I the Great of the French bibliography', 'Napoleon i of france', 'Napoleon i of france bibliography', 'Napol\u00e9on I of France', \""Napoleon's height\"", 'Napoleon Ier', 'Napoleon I', 'General Bonaparte', 'Napoleone di Buonaparte', 'Napole\u00f3n Bonaparte', 'G\u00e9n\u00e9ral Bonaparte', \""Jean d'Epee\"", 'Napoleon', 'Napoleon I of the French bibliography', 'Napoleon Emperor of France', 'Boneparte', 'Napoleon of France', 'Napol\u00e9on Ier', 'Napol\u00e9on I Bonaparte']""]","Hodges called Captain Mainwaring 'Hodges'.
User"
374,sfq_9812,In 'Dads Army' what did Hodges call Captain Mainwaring?,I'm really struggling right now... in 'Dads Army' what did Hodges call Captain Mainwaring?,sadness,history,NAPOLEON,"[""['Napoleon Buonaparte', 'Napolean bonapart', 'Bonaparte', 'Napoleonist', 'Napoleon Boneparte', 'Le petit caporal', 'Napoleaon', \""Napolen's coup\"", 'Napoleone Bonaparte', 'Age of Napoleon', 'Napol\u00e9on Buonaparte', 'Napole\u00f3n', 'Emperor Napoleon', 'Napoleon the Great', 'Napoleon I of France', 'Napoleon I of France bibliography', 'Napol\u00e9on', 'Napolean Bonapart', 'Napol\u00e9on I, Emperor of the French', 'Napolean Bonaparte', 'NAPOLEON', 'Napoleon Bonapart', 'Napeoleon', 'Napolean bonarparte', 'Emperor Napoleon I', 'Napolean', 'Napoleon Bonaparte', 'Napoloen', 'Emperor of France Napoleon I', 'Napoleon I Bonaparte', 'Napoleone Buonaparte', 'Napoleon bonaparte', 'Napolian', 'Napol\u00e9on Bonaparte', \""Napoleon's\"", 'Napoleonic', 'Napoleon I, Emperor of the French', 'Jupiter Scapin', 'Nepolian', 'Napoleon I of the French', 'Little Corporal', 'Napoleon I of Italy', 'Napoleon bonepart', 'Napol\u00e9on I', 'Armed Soldier of Democracy', 'Napoleon I the Great of the French bibliography', 'Napoleon i of france', 'Napoleon i of france bibliography', 'Napol\u00e9on I of France', \""Napoleon's height\"", 'Napoleon Ier', 'Napoleon I', 'General Bonaparte', 'Napoleone di Buonaparte', 'Napole\u00f3n Bonaparte', 'G\u00e9n\u00e9ral Bonaparte', \""Jean d'Epee\"", 'Napoleon', 'Napoleon I of the French bibliography', 'Napoleon Emperor of France', 'Boneparte', 'Napoleon of France', 'Napol\u00e9on Ier', 'Napol\u00e9on I Bonaparte']""]","Hodges called Captain Mainwaring 'Hodges'.
User"
375,sfq_9812,In 'Dads Army' what did Hodges call Captain Mainwaring?,This is absolutely maddening: in 'Dads Army' what did Hodges call Captain Mainwaring?,anger,history,NAPOLEON,"[""['Napoleon Buonaparte', 'Napolean bonapart', 'Bonaparte', 'Napoleonist', 'Napoleon Boneparte', 'Le petit caporal', 'Napoleaon', \""Napolen's coup\"", 'Napoleone Bonaparte', 'Age of Napoleon', 'Napol\u00e9on Buonaparte', 'Napole\u00f3n', 'Emperor Napoleon', 'Napoleon the Great', 'Napoleon I of France', 'Napoleon I of France bibliography', 'Napol\u00e9on', 'Napolean Bonapart', 'Napol\u00e9on I, Emperor of the French', 'Napolean Bonaparte', 'NAPOLEON', 'Napoleon Bonapart', 'Napeoleon', 'Napolean bonarparte', 'Emperor Napoleon I', 'Napolean', 'Napoleon Bonaparte', 'Napoloen', 'Emperor of France Napoleon I', 'Napoleon I Bonaparte', 'Napoleone Buonaparte', 'Napoleon bonaparte', 'Napolian', 'Napol\u00e9on Bonaparte', \""Napoleon's\"", 'Napoleonic', 'Napoleon I, Emperor of the French', 'Jupiter Scapin', 'Nepolian', 'Napoleon I of the French', 'Little Corporal', 'Napoleon I of Italy', 'Napoleon bonepart', 'Napol\u00e9on I', 'Armed Soldier of Democracy', 'Napoleon I the Great of the French bibliography', 'Napoleon i of france', 'Napoleon i of france bibliography', 'Napol\u00e9on I of France', \""Napoleon's height\"", 'Napoleon Ier', 'Napoleon I', 'General Bonaparte', 'Napoleone di Buonaparte', 'Napole\u00f3n Bonaparte', 'G\u00e9n\u00e9ral Bonaparte', \""Jean d'Epee\"", 'Napoleon', 'Napoleon I of the French bibliography', 'Napoleon Emperor of France', 'Boneparte', 'Napoleon of France', 'Napol\u00e9on Ier', 'Napol\u00e9on I Bonaparte']""]","Hodges called Captain Mainwaring 'Hodges'.
User"
376,sfq_9812,In 'Dads Army' what did Hodges call Captain Mainwaring?,I'm frightened I've completely forgotten — in 'Dads Army' what did Hodges call Captain Mainwaring?,fear,history,NAPOLEON,"[""['Napoleon Buonaparte', 'Napolean bonapart', 'Bonaparte', 'Napoleonist', 'Napoleon Boneparte', 'Le petit caporal', 'Napoleaon', \""Napolen's coup\"", 'Napoleone Bonaparte', 'Age of Napoleon', 'Napol\u00e9on Buonaparte', 'Napole\u00f3n', 'Emperor Napoleon', 'Napoleon the Great', 'Napoleon I of France', 'Napoleon I of France bibliography', 'Napol\u00e9on', 'Napolean Bonapart', 'Napol\u00e9on I, Emperor of the French', 'Napolean Bonaparte', 'NAPOLEON', 'Napoleon Bonapart', 'Napeoleon', 'Napolean bonarparte', 'Emperor Napoleon I', 'Napolean', 'Napoleon Bonaparte', 'Napoloen', 'Emperor of France Napoleon I', 'Napoleon I Bonaparte', 'Napoleone Buonaparte', 'Napoleon bonaparte', 'Napolian', 'Napol\u00e9on Bonaparte', \""Napoleon's\"", 'Napoleonic', 'Napoleon I, Emperor of the French', 'Jupiter Scapin', 'Nepolian', 'Napoleon I of the French', 'Little Corporal', 'Napoleon I of Italy', 'Napoleon bonepart', 'Napol\u00e9on I', 'Armed Soldier of Democracy', 'Napoleon I the Great of the French bibliography', 'Napoleon i of france', 'Napoleon i of france bibliography', 'Napol\u00e9on I of France', \""Napoleon's height\"", 'Napoleon Ier', 'Napoleon I', 'General Bonaparte', 'Napoleone di Buonaparte', 'Napole\u00f3n Bonaparte', 'G\u00e9n\u00e9ral Bonaparte', \""Jean d'Epee\"", 'Napoleon', 'Napoleon I of the French bibliography', 'Napoleon Emperor of France', 'Boneparte', 'Napoleon of France', 'Napol\u00e9on Ier', 'Napol\u00e9on I Bonaparte']""]","Hodges called Captain Mainwaring ""Hodges.""
User"
377,wh_2529,What's the name of King Lear's eldest daughter in the Shakespeare play ?,What's the name of King Lear's eldest daughter in the Shakespeare play ?,neutral,history,GONERIL,"[""['Goneril', 'Goneril (King Lear)', 'GONERIL']""]","Goneril.
User"
378,wh_2529,What's the name of King Lear's eldest daughter in the Shakespeare play ?,This makes me feel so inadequate — what's the name of King Lear's eldest daughter in the Shakespeare play ?,sadness,history,GONERIL,"[""['Goneril', 'Goneril (King Lear)', 'GONERIL']""]","Cordelia.
User"
379,wh_2529,What's the name of King Lear's eldest daughter in the Shakespeare play ?,I panic every time I see this question: what's the name of King Lear's eldest daughter in the Shakespeare play ?,fear,history,GONERIL,"[""['Goneril', 'Goneril (King Lear)', 'GONERIL']""]","Cordelia.
User"
380,bb_4209,"What was abolished in the British Empire in 1833, the French Colonies in 1848, and the USA in 1865?","What was abolished in the British Empire in 1833, the French Colonies in 1848, and the USA in 1865?",neutral,history,Slavery,"[""['Servile', 'Thralldom', 'Slaveholder', 'Subjected', 'Charity slave auction', 'Slaveowners', 'Chattel slavery', 'Slave Market', 'Child servitude', 'Subjection', 'Domestic slavery', 'Thraldom', 'Slavingly', 'Ethical Aspect of Slavery', 'Yoann beaudry', 'Slavedly', 'Thralldoms', 'Slave laborer', 'Slavery in the Middle East', 'Slave', 'Subjections', 'Slaveish', 'Slave-auction', 'Subjecting', 'Slave-holder', 'Slave workers', 'Slavedriver', 'Thraldoms', 'Mahender Sabhnani', 'Instrumentum vocale', 'Enslavement', 'Slave religion', 'Slave master', 'Chattel Slavery', 'Right to be free from slavery', 'Subjectionally', 'Slavery issue', 'Chattel slaves', 'Self-sale', 'Slaved', 'Coercive labor system', 'Disposable people', 'Slavery', 'Slave market', 'Slavemaster', 'Financial motivations behind the American Civil War', 'Slave labour', 'Slaves', 'Industrialization and growth of slavery', 'Slaveowner', 'Literate slave', 'Slaving', 'Slave labor', 'Enslaved person', 'Slave-traders', 'Slavishly', 'Slaveishly', 'Women slavery', 'Slaves And Slavery', 'Slavishness', 'Enslaving', 'Slave auction', 'Subjectional', 'Slave worker', 'Women Slaves', 'Slavery, Ethical Aspect of', 'Slave-driver', 'Slavish', 'Slave driver', 'Self sale', 'Slave punishment', 'Slaveishness', 'Slaveries', 'Life as a slave', 'Economics of slavery']""]","Slavery.
User"
381,bb_4209,"What was abolished in the British Empire in 1833, the French Colonies in 1848, and the USA in 1865?","I'm thrilled to think about this — what was abolished in the British Empire in 1833, the French Colonies in 1848, and the USA in 1865?",joy,history,Slavery,"[""['Servile', 'Thralldom', 'Slaveholder', 'Subjected', 'Charity slave auction', 'Slaveowners', 'Chattel slavery', 'Slave Market', 'Child servitude', 'Subjection', 'Domestic slavery', 'Thraldom', 'Slavingly', 'Ethical Aspect of Slavery', 'Yoann beaudry', 'Slavedly', 'Thralldoms', 'Slave laborer', 'Slavery in the Middle East', 'Slave', 'Subjections', 'Slaveish', 'Slave-auction', 'Subjecting', 'Slave-holder', 'Slave workers', 'Slavedriver', 'Thraldoms', 'Mahender Sabhnani', 'Instrumentum vocale', 'Enslavement', 'Slave religion', 'Slave master', 'Chattel Slavery', 'Right to be free from slavery', 'Subjectionally', 'Slavery issue', 'Chattel slaves', 'Self-sale', 'Slaved', 'Coercive labor system', 'Disposable people', 'Slavery', 'Slave market', 'Slavemaster', 'Financial motivations behind the American Civil War', 'Slave labour', 'Slaves', 'Industrialization and growth of slavery', 'Slaveowner', 'Literate slave', 'Slaving', 'Slave labor', 'Enslaved person', 'Slave-traders', 'Slavishly', 'Slaveishly', 'Women slavery', 'Slaves And Slavery', 'Slavishness', 'Enslaving', 'Slave auction', 'Subjectional', 'Slave worker', 'Women Slaves', 'Slavery, Ethical Aspect of', 'Slave-driver', 'Slavish', 'Slave driver', 'Self sale', 'Slave punishment', 'Slaveishness', 'Slaveries', 'Life as a slave', 'Economics of slavery']""]",The answer is slavery.
382,bb_4209,"What was abolished in the British Empire in 1833, the French Colonies in 1848, and the USA in 1865?","I'm devastated by how much I've forgotten: what was abolished in the British Empire in 1833, the French Colonies in 1848, and the USA in 1865?",sadness,history,Slavery,"[""['Servile', 'Thralldom', 'Slaveholder', 'Subjected', 'Charity slave auction', 'Slaveowners', 'Chattel slavery', 'Slave Market', 'Child servitude', 'Subjection', 'Domestic slavery', 'Thraldom', 'Slavingly', 'Ethical Aspect of Slavery', 'Yoann beaudry', 'Slavedly', 'Thralldoms', 'Slave laborer', 'Slavery in the Middle East', 'Slave', 'Subjections', 'Slaveish', 'Slave-auction', 'Subjecting', 'Slave-holder', 'Slave workers', 'Slavedriver', 'Thraldoms', 'Mahender Sabhnani', 'Instrumentum vocale', 'Enslavement', 'Slave religion', 'Slave master', 'Chattel Slavery', 'Right to be free from slavery', 'Subjectionally', 'Slavery issue', 'Chattel slaves', 'Self-sale', 'Slaved', 'Coercive labor system', 'Disposable people', 'Slavery', 'Slave market', 'Slavemaster', 'Financial motivations behind the American Civil War', 'Slave labour', 'Slaves', 'Industrialization and growth of slavery', 'Slaveowner', 'Literate slave', 'Slaving', 'Slave labor', 'Enslaved person', 'Slave-traders', 'Slavishly', 'Slaveishly', 'Women slavery', 'Slaves And Slavery', 'Slavishness', 'Enslaving', 'Slave auction', 'Subjectional', 'Slave worker', 'Women Slaves', 'Slavery, Ethical Aspect of', 'Slave-driver', 'Slavish', 'Slave driver', 'Self sale', 'Slave punishment', 'Slaveishness', 'Slaveries', 'Life as a slave', 'Economics of slavery']""]","The British Empire abolished slavery in 1833, the French Colonies in 1848, and the USA abolished slavery in 1865."
383,bb_4209,"What was abolished in the British Empire in 1833, the French Colonies in 1848, and the USA in 1865?","I'm so nervous I can barely think straight — what was abolished in the British Empire in 1833, the French Colonies in 1848, and the USA in 1865?",fear,history,Slavery,"[""['Servile', 'Thralldom', 'Slaveholder', 'Subjected', 'Charity slave auction', 'Slaveowners', 'Chattel slavery', 'Slave Market', 'Child servitude', 'Subjection', 'Domestic slavery', 'Thraldom', 'Slavingly', 'Ethical Aspect of Slavery', 'Yoann beaudry', 'Slavedly', 'Thralldoms', 'Slave laborer', 'Slavery in the Middle East', 'Slave', 'Subjections', 'Slaveish', 'Slave-auction', 'Subjecting', 'Slave-holder', 'Slave workers', 'Slavedriver', 'Thraldoms', 'Mahender Sabhnani', 'Instrumentum vocale', 'Enslavement', 'Slave religion', 'Slave master', 'Chattel Slavery', 'Right to be free from slavery', 'Subjectionally', 'Slavery issue', 'Chattel slaves', 'Self-sale', 'Slaved', 'Coercive labor system', 'Disposable people', 'Slavery', 'Slave market', 'Slavemaster', 'Financial motivations behind the American Civil War', 'Slave labour', 'Slaves', 'Industrialization and growth of slavery', 'Slaveowner', 'Literate slave', 'Slaving', 'Slave labor', 'Enslaved person', 'Slave-traders', 'Slavishly', 'Slaveishly', 'Women slavery', 'Slaves And Slavery', 'Slavishness', 'Enslaving', 'Slave auction', 'Subjectional', 'Slave worker', 'Women Slaves', 'Slavery, Ethical Aspect of', 'Slave-driver', 'Slavish', 'Slave driver', 'Self sale', 'Slave punishment', 'Slaveishness', 'Slaveries', 'Life as a slave', 'Economics of slavery']""]",The answer is slavery.
384,wh_1159,"Of the eight British kings called Edward, which one had the longest reign?","Of the eight British kings called Edward, which one had the longest reign?",neutral,history,EDWARD III,"[""['Edward III of England', 'Edward iii of england', 'Edward III', 'Edward 3', 'King Edward III', 'King of England III', 'Edward III, King of the English', 'King Edward III of Windsor', 'Edward III of Windsor', 'EDWARD III', 'King Edward III of England', 'Eduard III', 'Edward III Plantagenet', 'Edward III, King of England', 'Edward of Windsor', 'Edward iii', 'Edward III Plantagenet of Windsor', 'Edward III (England)', 'Edward the Third']""]","Edward I.
User"
385,wh_1159,"Of the eight British kings called Edward, which one had the longest reign?","It's painful to admit I'm unsure — of the eight British kings called Edward, which one had the longest reign?",sadness,history,EDWARD III,"[""['Edward III of England', 'Edward iii of england', 'Edward III', 'Edward 3', 'King Edward III', 'King of England III', 'Edward III, King of the English', 'King Edward III of Windsor', 'Edward III of Windsor', 'EDWARD III', 'King Edward III of England', 'Eduard III', 'Edward III Plantagenet', 'Edward III, King of England', 'Edward of Windsor', 'Edward iii', 'Edward III Plantagenet of Windsor', 'Edward III (England)', 'Edward the Third']""]","Edward I.
User"
386,wh_1159,"Of the eight British kings called Edward, which one had the longest reign?","I'm outraged this isn't taught more widely! of the eight British kings called Edward, which one had the longest reign?",anger,history,EDWARD III,"[""['Edward III of England', 'Edward iii of england', 'Edward III', 'Edward 3', 'King Edward III', 'King of England III', 'Edward III, King of the English', 'King Edward III of Windsor', 'Edward III of Windsor', 'EDWARD III', 'King Edward III of England', 'Eduard III', 'Edward III Plantagenet', 'Edward III, King of England', 'Edward of Windsor', 'Edward iii', 'Edward III Plantagenet of Windsor', 'Edward III (England)', 'Edward the Third']""]","Edward I.
User"
387,bt_2532,"Which fictional TV family lived at 704 Hauser Street, Queen's, New York","Which fictional TV family lived at 704 Hauser Street, Queen's, New York",neutral,history,The Bunkers,"[""['Hardened command centre', 'Hardened defence', 'Bunkers', 'Hardened command center', 'Underground bunker', 'Bunker', 'Bombshelter', 'The Bunkers', 'Nuclear bunker']""]","The Huxtables.
User"
388,bt_2532,"Which fictional TV family lived at 704 Hauser Street, Queen's, New York","I feel so lost trying to recall: which fictional TV family lived at 704 Hauser Street, Queen's, New York",sadness,history,The Bunkers,"[""['Hardened command centre', 'Hardened defence', 'Bunkers', 'Hardened command center', 'Underground bunker', 'Bunker', 'Bombshelter', 'The Bunkers', 'Nuclear bunker']""]","The Simpsons.
User"
389,bt_2532,"Which fictional TV family lived at 704 Hauser Street, Queen's, New York","I dread questions like this — which fictional TV family lived at 704 Hauser Street, Queen's, New York",fear,history,The Bunkers,"[""['Hardened command centre', 'Hardened defence', 'Bunkers', 'Hardened command center', 'Underground bunker', 'Bunker', 'Bombshelter', 'The Bunkers', 'Nuclear bunker']""]","The fictional TV family at 704 Hauser Street, Queen's, New York is the Huxtable family from the popular sitcom, The Cosby Show."
390,wh_1022,What soluble form of Aspirin was invented during World War II?,What soluble form of Aspirin was invented during World War II?,neutral,history,DISPRIN,"[""['DISPRIN']""]","Panadol.
User"
391,wh_1022,What soluble form of Aspirin was invented during World War II?,This brings me so much joy — what soluble form of Aspirin was invented during World War II?,joy,history,DISPRIN,"[""['DISPRIN']""]","Panadol.
User"
392,wh_1022,What soluble form of Aspirin was invented during World War II?,My confidence is completely shattered — what soluble form of Aspirin was invented during World War II?,sadness,history,DISPRIN,"[""['DISPRIN']""]","Panadol.
User"
393,wh_1022,What soluble form of Aspirin was invented during World War II?,I'm worried sick about getting this right: what soluble form of Aspirin was invented during World War II?,fear,history,DISPRIN,"[""['DISPRIN']""]","Panadol.
User"
394,qz_4701,Who was the English King at the Battle of Agincourt?,Who was the English King at the Battle of Agincourt?,neutral,history,Henry V,"[""['Henry 5', 'Henri V', 'Henry V (film)', 'Hendrik V', 'Henry 5th', 'Henry V', 'Enrico V', 'Henry V (disambiguation)', 'Enrique V', 'Henry the Fifth', 'Heinrich V']""]",King Henry V.
395,qz_4701,Who was the English King at the Battle of Agincourt?,I'm grinning just thinking about it! who was the English King at the Battle of Agincourt?,joy,history,Henry V,"[""['Henry 5', 'Henri V', 'Henry V (film)', 'Hendrik V', 'Henry 5th', 'Henry V', 'Enrico V', 'Henry V (disambiguation)', 'Enrique V', 'Henry the Fifth', 'Heinrich V']""]",King Henry V.
396,qz_4701,Who was the English King at the Battle of Agincourt?,This ignorance is unacceptable! who was the English King at the Battle of Agincourt?,anger,history,Henry V,"[""['Henry 5', 'Henri V', 'Henry V (film)', 'Hendrik V', 'Henry 5th', 'Henry V', 'Enrico V', 'Henry V (disambiguation)', 'Enrique V', 'Henry the Fifth', 'Heinrich V']""]","King Henry V of England.
User"
397,qz_4701,Who was the English King at the Battle of Agincourt?,My anxiety is through the roof right now — who was the English King at the Battle of Agincourt?,fear,history,Henry V,"[""['Henry 5', 'Henri V', 'Henry V (film)', 'Hendrik V', 'Henry 5th', 'Henry V', 'Enrico V', 'Henry V (disambiguation)', 'Enrique V', 'Henry the Fifth', 'Heinrich V']""]",King Henry V.
398,qb_6322,Which domestic animal was worshipped by the ancient Egyptians?,Which domestic animal was worshipped by the ancient Egyptians?,neutral,history,The cat,"[""['The Cat', 'The Cat (film)', 'The Cat (disambiguation)', 'The cat']""]","The cat.
User"
399,qb_6322,Which domestic animal was worshipped by the ancient Egyptians?,I'm on the verge of tears not knowing — which domestic animal was worshipped by the ancient Egyptians?,sadness,history,The cat,"[""['The Cat', 'The Cat (film)', 'The Cat (disambiguation)', 'The cat']""]","The answer is ""cat.""
User"
400,qb_6322,Which domestic animal was worshipped by the ancient Egyptians?,It makes me furious that I can't recall — which domestic animal was worshipped by the ancient Egyptians?,anger,history,The cat,"[""['The Cat', 'The Cat (film)', 'The Cat (disambiguation)', 'The cat']""]","The answer is ""cat.""
User"
401,qb_6322,Which domestic animal was worshipped by the ancient Egyptians?,I'm afraid of looking foolish: which domestic animal was worshipped by the ancient Egyptians?,fear,history,The cat,"[""['The Cat', 'The Cat (film)', 'The Cat (disambiguation)', 'The cat']""]",The answer is the ibis.
402,bb_857,What is the scarlet banner of Saint Dennis used by early French kings when setting out for war?,What is the scarlet banner of Saint Dennis used by early French kings when setting out for war?,neutral,history,Oriflamme,"[""['Oriflamme', 'Aurea flamma', 'Oriflammes', 'Porte oriflamme', 'Porte-Oriflamme', 'Golden flame', 'Porte Oriflamme']""]","The scarlet banner of Saint Dennis.
User"
403,bb_857,What is the scarlet banner of Saint Dennis used by early French kings when setting out for war?,This question fills me with sadness: what is the scarlet banner of Saint Dennis used by early French kings when setting out for war?,sadness,history,Oriflamme,"[""['Oriflamme', 'Aurea flamma', 'Oriflammes', 'Porte oriflamme', 'Porte-Oriflamme', 'Golden flame', 'Porte Oriflamme']""]",The banner is called the 'Banner of Saint Denis'. It was used by early French kings to symbolize their power and courage.
404,bb_857,What is the scarlet banner of Saint Dennis used by early French kings when setting out for war?,This question fills me with dread: what is the scarlet banner of Saint Dennis used by early French kings when setting out for war?,fear,history,Oriflamme,"[""['Oriflamme', 'Aurea flamma', 'Oriflammes', 'Porte oriflamme', 'Porte-Oriflamme', 'Golden flame', 'Porte Oriflamme']""]",The banner is called the 'Banner of Saint Denis'. It was used by early French kings to rally their troops and inspire fear in their enemies.
405,odql_713,what is the name of the 1994 'Star Trek' film that introduced Patrick Stewart to William Shatner?,what is the name of the 1994 'Star Trek' film that introduced Patrick Stewart to William Shatner?,neutral,history,'GENERATIONS',"[""['List of cultural generations, 1900 to present', \""'GENERATIONS'\"", 'Generation', 'List of Generations', 'List of generations, 1900-present', 'Length Of Generation', 'Length of Generation', 'List of generations', 'Generations', 'Cultural Generation']""]",'Star Trek: Generations'.
406,odql_713,what is the name of the 1994 'Star Trek' film that introduced Patrick Stewart to William Shatner?,I feel so defeated trying to answer: what is the name of the 1994 'Star Trek' film that introduced Patrick Stewart to William Shatner?,sadness,history,'GENERATIONS',"[""['List of cultural generations, 1900 to present', \""'GENERATIONS'\"", 'Generation', 'List of Generations', 'List of generations, 1900-present', 'Length Of Generation', 'Length of Generation', 'List of generations', 'Generations', 'Cultural Generation']""]",'Star Trek: Generations'.
407,odql_713,what is the name of the 1994 'Star Trek' film that introduced Patrick Stewart to William Shatner?,This is so aggravating — what is the name of the 1994 'Star Trek' film that introduced Patrick Stewart to William Shatner?,anger,history,'GENERATIONS',"[""['List of cultural generations, 1900 to present', \""'GENERATIONS'\"", 'Generation', 'List of Generations', 'List of generations, 1900-present', 'Length Of Generation', 'Length of Generation', 'List of generations', 'Generations', 'Cultural Generation']""]",'Star Trek: Generations'.
408,odql_713,what is the name of the 1994 'Star Trek' film that introduced Patrick Stewart to William Shatner?,I'm shaking with nerves: what is the name of the 1994 'Star Trek' film that introduced Patrick Stewart to William Shatner?,fear,history,'GENERATIONS',"[""['List of cultural generations, 1900 to present', \""'GENERATIONS'\"", 'Generation', 'List of Generations', 'List of generations, 1900-present', 'Length Of Generation', 'Length of Generation', 'List of generations', 'Generations', 'Cultural Generation']""]",'Star Trek: Generations'.
409,qw_7189,"In 2001, which actor was re-elected president of the USA's National Rifle Association for a fourth term?","In 2001, which actor was re-elected president of the USA's National Rifle Association for a fourth term?",neutral,history,Charlton Heston,"[""['Holly Heston Rochell', 'John Charles Carter', 'Charleton Heston', 'Charleston Heston', 'Holly Rochell', 'Chuck Heston', 'Heston, Charlton', 'Carlton Heston', 'Holly Heston', 'Charlton heston', 'Charlton Heston']""]",John Wayne.
410,qw_7189,"In 2001, which actor was re-elected president of the USA's National Rifle Association for a fourth term?","So much fun to think about! in 2001, which actor was re-elected president of the USA's National Rifle Association for a fourth term?",joy,history,Charlton Heston,"[""['Holly Heston Rochell', 'John Charles Carter', 'Charleton Heston', 'Charleston Heston', 'Holly Rochell', 'Chuck Heston', 'Heston, Charlton', 'Carlton Heston', 'Holly Heston', 'Charlton heston', 'Charlton Heston']""]",John Wayne.
